Year,Age,Deaths
2010,1-4,1
2010,5-9,1
2010,10-14,1
2010,15-19,0
2010,20-24,1
2010,25-29,5
2010,30-34,6
2010,35-39,11
2010,40-44,17
2010,45-49,55
2010,50-54,121
2010,55-59,221
2010,60-64,224
2010,65-69,251
2010,70-74,280
2010,75-79,333
2010,80-84,280
2010,85-90,291
