Year,Age,Deaths
2010,1-4,2
2010,5-9,0
2010,10-14,0
2010,15-19,0
2010,20-24,1
2010,25-29,3
2010,30-34,8
2010,35-39,29
2010,40-44,106
2010,45-49,404
2010,50-54,937
2010,55-59,1500
2010,60-64,2262
2010,65-69,2838
2010,70-74,3052
2010,75-79,3256
2010,80-84,2724
2010,85-89,2192
